"dataset","term","estimate","se"
1,"(Intercept):1",1.59245420754659,0.225623326314634
1,"(Intercept):2",2.40294690154202,0.241730712016638
1,"childrenyes",-0.674260297670539,0.243307613583304
1,"religiousness.L",0.569322470130684,0.280323153030013
1,"religiousness.Q",0.0130650898596211,0.261535111573475
1,"religiousness.C",-0.0367443189840598,0.226327540502357
1,"religiousness^4",-0.525971240215812,0.207985950965477
1,"rating.L",0.723493925997571,0.289556045327346
1,"rating.Q",0.756822308038747,0.281135146415231
1,"rating.C",-0.471340520715805,0.231980977782224
1,"rating^4",0.76050216183242,0.241051436344448
2,"(Intercept):1",1.26349970200818,0.201832254787569
2,"(Intercept):2",2.09741782295075,0.218186890062463
2,"childrenyes",-0.361447649248974,0.228004313816475
2,"religiousness.L",0.542568613029883,0.27361008705313
2,"religiousness.Q",0.0910835107015144,0.256001654109313
2,"religiousness.C",-0.236957350635115,0.218855288088172
2,"religiousness^4",-0.327291198456348,0.206429215524443
2,"rating.L",1.04958163621931,0.243879304502736
2,"rating.Q",0.363873573399551,0.246623111850536
2,"rating.C",-0.47558220973686,0.223015795679652
2,"rating^4",0.496591788656942,0.237341741158968
3,"(Intercept):1",1.26150976545254,0.212028544221009
3,"(Intercept):2",2.13238474428158,0.228145984934781
3,"childrenyes",-0.45899378655178,0.23621691377401
3,"religiousness.L",0.769801657697109,0.268641334310314
3,"religiousness.Q",-0.0804835118618187,0.251743540314679
3,"religiousness.C",-0.0694318715480863,0.224100833370502
3,"religiousness^4",-0.497631841085485,0.207250584577094
3,"rating.L",1.29973710943601,0.248781189175848
3,"rating.Q",0.282284274083569,0.24708573093633
3,"rating.C",-0.166628797360542,0.226087205826949
3,"rating^4",0.369727207201676,0.237370302761914
4,"(Intercept):1",1.34047780795643,0.207279864998915
4,"(Intercept):2",2.11139439920211,0.221718215733394
4,"childrenyes",-0.439827772097126,0.229853112942696
4,"religiousness.L",0.817464997425531,0.282638068915556
4,"religiousness.Q",-0.00753707701016167,0.260300371559034
4,"religiousness.C",0.069031397463511,0.222207730290215
4,"religiousness^4",-0.444771981112629,0.202765971280273
4,"rating.L",0.849445001861344,0.247688307561966
4,"rating.Q",0.476602362410461,0.245498841930333
4,"rating.C",-0.359431566177503,0.222397575300869
4,"rating^4",0.354866995906233,0.234774165030283
5,"(Intercept):1",1.52710225906432,0.222357406352638
5,"(Intercept):2",2.36589437733688,0.238690056175198
5,"childrenyes",-0.713400909498586,0.244511211780328
5,"religiousness.L",0.7289035132453,0.276270654284607
5,"religiousness.Q",0.0824331974548262,0.256248914891233
5,"religiousness.C",-0.144320549386163,0.226307856495908
5,"religiousness^4",-0.594835515592117,0.20790617067326
5,"rating.L",1.05225484269847,0.25606111749386
5,"rating.Q",0.515010035725132,0.251955096165473
5,"rating.C",-0.24871565806891,0.226348072153119
5,"rating^4",0.308524518449577,0.232829055078885
6,"(Intercept):1",1.15362481261726,0.200916191342363
6,"(Intercept):2",1.99479482715584,0.216535910597621
6,"childrenyes",-0.202525851681164,0.226788408190342
6,"religiousness.L",0.836741101965783,0.283810064588953
6,"religiousness.Q",-0.0463672220984446,0.260937604272713
6,"religiousness.C",0.164739658437273,0.223818068487091
6,"religiousness^4",-0.499123206133712,0.202658883502625
6,"rating.L",0.998195330886593,0.237344114767166
6,"rating.Q",0.582852829530977,0.240907116865516
6,"rating.C",-0.380893000317193,0.22024052033931
6,"rating^4",0.410256742886277,0.236555865548065
7,"(Intercept):1",1.31215772395617,0.203615524252079
7,"(Intercept):2",2.10865316790147,0.219069109790163
7,"childrenyes",-0.445745520346674,0.228353435495732
7,"religiousness.L",0.716824093880009,0.266569127754011
7,"religiousness.Q",-0.247213221500362,0.251028407558977
7,"religiousness.C",-0.0126955635731877,0.221567217647221
7,"religiousness^4",-0.512224662433679,0.208394022680239
7,"rating.L",0.939009048163281,0.247926526646509
7,"rating.Q",0.397923687982877,0.249612572256601
7,"rating.C",-0.256174325894616,0.224728027576014
7,"rating^4",0.33263688364184,0.235083000747674
8,"(Intercept):1",1.10514007445519,0.195393628314465
8,"(Intercept):2",1.95476386480673,0.210784824158494
8,"childrenyes",-0.265949902243774,0.220589857682362
8,"religiousness.L",0.828559507549243,0.271210311113175
8,"religiousness.Q",-0.0182795859345736,0.251365784689264
8,"religiousness.C",0.0288470114812887,0.221648172638622
8,"religiousness^4",-0.629730356735462,0.202541592319225
8,"rating.L",1.12020599443637,0.245596579471688
8,"rating.Q",0.350683672245335,0.245137928714253
8,"rating.C",-0.344254356388327,0.22024636163012
8,"rating^4",0.405794612065901,0.231058330964117
9,"(Intercept):1",1.18549456796558,0.212198690917093
9,"(Intercept):2",1.99015487213398,0.22611468887167
9,"childrenyes",-0.364249807829523,0.235687567690871
9,"religiousness.L",0.659225053149255,0.272550100713332
9,"religiousness.Q",-0.281125562493525,0.25445762984752
9,"religiousness.C",-0.133253269208193,0.221844277214524
9,"religiousness^4",-0.472683221741737,0.205738614176097
9,"rating.L",1.24393628544493,0.249672205525769
9,"rating.Q",0.415722561779131,0.247464032940038
9,"rating.C",-0.234584353408907,0.220882565605632
9,"rating^4",0.550898496493812,0.234578999313555
10,"(Intercept):1",1.2720959941457,0.202229366227846
10,"(Intercept):2",2.0517442880257,0.216965422656621
10,"childrenyes",-0.310102384825836,0.227502694361225
10,"religiousness.L",0.78034578214632,0.288873977480983
10,"religiousness.Q",0.188266696329081,0.266312094342193
10,"religiousness.C",-0.0687087064103199,0.226401771806186
10,"religiousness^4",-0.413471495122376,0.203910174695398
10,"rating.L",1.03871927344627,0.238515482580613
10,"rating.Q",0.546315666860938,0.244088586830734
10,"rating.C",-0.362888038686173,0.221562700968419
10,"rating^4",0.583592822338517,0.236681694291831
11,"(Intercept):1",1.12663278902662,0.192477366327615
11,"(Intercept):2",1.9584464511344,0.207656042527167
11,"childrenyes",-0.368994764446055,0.219932646585915
11,"religiousness.L",0.830736867232008,0.277358520000773
11,"religiousness.Q",0.0370108899947008,0.254573772319644
11,"religiousness.C",0.100310709021882,0.221255018943617
11,"religiousness^4",-0.552028205384917,0.201459907890261
11,"rating.L",1.47129980936992,0.237822785653112
11,"rating.Q",0.302598102065338,0.239596879210111
11,"rating.C",-0.323574835510128,0.218917386900368
11,"rating^4",0.377724395632819,0.23566816508889
12,"(Intercept):1",1.52914056319867,0.222833549912586
12,"(Intercept):2",2.35364708873041,0.238509020816089
12,"childrenyes",-0.718732918927706,0.241167302972196
12,"religiousness.L",1.05588181162133,0.291524852318046
12,"religiousness.Q",-0.0597642111360694,0.267876568553867
12,"religiousness.C",0.137333000619125,0.227749563074397
12,"religiousness^4",-0.433270600053719,0.204694463034196
12,"rating.L",0.985085871907978,0.256134222899328
12,"rating.Q",0.488036968680912,0.255544004452303
12,"rating.C",-0.430647590017406,0.222307600908716
12,"rating^4",0.414570915655729,0.236649189837263
13,"(Intercept):1",1.24262650540605,0.203554620441831
13,"(Intercept):2",2.07336004603639,0.218885923992895
13,"childrenyes",-0.487095024365381,0.230047521177978
13,"religiousness.L",0.798811743079321,0.270859760029546
13,"religiousness.Q",-0.190008525121877,0.254237426124298
13,"religiousness.C",-0.0106798382348288,0.222936000308329
13,"religiousness^4",-0.511604733359837,0.20741538859585
13,"rating.L",1.26890733333813,0.250017391750874
13,"rating.Q",0.404796665156403,0.246452176240466
13,"rating.C",-0.438941856866234,0.22476212032277
13,"rating^4",0.387398190281369,0.231238821477258
14,"(Intercept):1",1.17259316092515,0.196056321111437
14,"(Intercept):2",2.00270424263948,0.210987018780721
14,"childrenyes",-0.368077372885344,0.219033617955095
14,"religiousness.L",0.517426007547261,0.268522891689085
14,"religiousness.Q",0.0887716536380825,0.250404459972475
14,"religiousness.C",-0.0716733256755368,0.214219428540426
14,"religiousness^4",-0.50035792351733,0.197811386491638
14,"rating.L",0.775213022718516,0.249308873254401
14,"rating.Q",0.643674017281286,0.244340091788241
14,"rating.C",-0.482491098603944,0.218921037141238
14,"rating^4",0.344301353550408,0.226465942622542
15,"(Intercept):1",1.31777668401007,0.204944059068746
15,"(Intercept):2",2.13590580314524,0.22052188943252
15,"childrenyes",-0.431225655422517,0.225147442890641
15,"religiousness.L",0.929364881169016,0.287832469421817
15,"religiousness.Q",0.023880762623018,0.263081583078887
15,"religiousness.C",0.15652334185112,0.22846300346448
15,"religiousness^4",-0.60235465321682,0.203301937032055
15,"rating.L",0.862673146541086,0.259557433142079
15,"rating.Q",0.612711852939191,0.253422372179821
